symbol,avgMean,avgR,avgUV,avgS,avgM1,avgM3,avgM4,avgL,pctMean,pctR,pctUV,pctS,pctM1,pctM3,pctM4,pctL
cu929144.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nkx6.2,4.61275889109276E-05,0.000322893122376493,0,0,0,0,0,0,0.00461275889109276,0.0322893122376493,0,0,0,0,0,0
valopa,0.00146902872047671,0.00839522118178883,0,0,0,0,0,0.00188797986154814,0.133064595374393,0.742654181465935,0,0,0,0,0,0.188797986154814
pwwp2b,0.0369772377841339,0.026154342912496,0.05,0.0487804878048781,0.0178571428571429,0.0410958904109589,0.0428571428571429,0.0320956576463184,3.50091423106156,2.58314497901195,5,3.65853658536585,1.78571428571429,4.10958904109589,4.28571428571429,3.08370044052863
cabz01088567.1,0.0109812845021641,0.0154988698740717,0,0,0.0357142857142857,0.0136986301369863,0,0.0119572057898049,1.08890293243422,1.48530836293187,0,0,3.57142857142857,1.36986301369863,0,1.19572057898049
srfb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbh,0.0142005471119055,0.0277688085243784,0.05,0.0121951219512195,0,0,0,0.00943989930774072,1.3877653989529,2.5508556667743,5,1.21951219512195,0,0,0,0.943989930774072
mrpl2,0.0470803159154784,0.0461737164998386,0,0.0487804878048781,0.0535714285714286,0.0136986301369863,0.1,0.0673379483952171,4.47017748915437,4.42363577655796,0,3.65853658536585,5.35714285714286,1.36986301369863,10,6.48206419131529
cabz01089777.1,0.012215032799544,0.00226025185663545,0,0.0365853658536585,0.0178571428571429,0.0136986301369863,0,0.0151038388923851,1.2215032799544,0.226025185663545,0,3.65853658536585,1.78571428571429,1.36986301369863,0,1.51038388923851
tmem254,0.000179807605861728,0,0,0,0,0,0,0.0012586532410321,0.0179807605861728,0,0,0,0,0,0,0.12586532410321
lclat1,0.0661573413233764,0.0516628995802389,0.1,0.0975609756097561,0.0357142857142857,0.0410958904109589,0.0571428571428571,0.0799244808055381,6.53411529723257,4.972554084598,10,9.75609756097561,3.57142857142857,4.10958904109589,5.71428571428571,7.61485210824418
slc30a10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klhdc3,0.00231523048510519,0.00129157248950597,0,0,0,0,0.0142857142857143,0.000629326620516048,0.231523048510519,0.129157248950597,0,0,0,0,1.42857142857143,0.0629326620516048
homer2,0.000184510355643711,0.00129157248950597,0,0,0,0,0,0,0.0184510355643711,0.129157248950597,0,0,0,0,0,0
whamm,0.00872865702732626,0.00774943493703584,0,0,0.0178571428571429,0,0.0285714285714286,0.00692259282567653,0.872865702732626,0.774943493703584,0,0,1.78571428571429,0,2.85714285714286,0.692259282567653
pde8a,0.00245259376599186,0.000322893122376493,0,0,0,0.0136986301369863,0,0.00314663310258024,0.245259376599186,0.0322893122376493,0,0,0,1.36986301369863,0,0.314663310258024
gatm,4.61275889109276E-05,0.000322893122376493,0,0,0,0,0,0,0.00461275889109276,0.0322893122376493,0,0,0,0,0,0
zgc:158482,0.000726284548119886,0.00193735873425896,0,0,0,0,0,0.00314663310258024,0.0726284548119886,0.193735873425896,0,0,0,0,0,0.314663310258024
